zone_key,year,density,Q,Eglob,SyCI,n_nodes,n_edges
Mongolia,2000,0.3508771929824561,0.25596590435439676,0.1142817102996573,0.6491228070175439,19,60
Mongolia,2001,0.3508771929824561,0.24468890636382834,0.11530582001915679,0.6666666666666667,19,60
Mongolia,2002,0.3157894736842105,0.3275584985171057,0.09981661922840683,0.6491228070175439,20,60
Mongolia,2003,0.3157894736842105,0.28478161882594194,0.1035224075935422,0.6666666666666667,20,60
Mongolia,2004,0.3157894736842105,0.2882434125775842,0.1069948601923428,0.631578947368421,20,60
Mongolia,2005,0.3157894736842105,0.24102094552548253,0.10994336717537932,0.6140350877192983,20,60
Mongolia,2006,0.3157894736842105,0.25627534189314555,0.11342650607344845,0.6140350877192983,20,60
Mongolia,2007,0.3157894736842105,0.28708648899130373,0.09722914930870727,0.6491228070175439,20,60
Mongolia,2008,0.3157894736842105,0.29103062504386734,0.10522053490822228,0.631578947368421,20,60
Mongolia,2009,0.3508771929824561,0.2524904581221166,0.11537793744801432,0.6491228070175439,19,60
Mongolia,2010,0.3157894736842105,0.2806888995281903,0.11266528833585411,0.6140350877192983,20,60
Mongolia,2011,0.3508771929824561,0.2944027327501054,0.11475938394643459,0.6428571428571428,19,60
Mongolia,2012,0.3157894736842105,0.3443902807363577,0.10572276347261343,0.625,20,60
Mongolia,2013,0.3157894736842105,0.27429762228848414,0.12361873909976437,0.6140350877192983,20,60
Mongolia,2014,0.3157894736842105,0.3092803197265605,0.1127885884247238,0.625,20,60
Mongolia,2015,0.3157894736842105,0.31886668633968185,0.10717274429045702,0.625,20,60
Mongolia,2016,0.3157894736842105,0.27807673899322577,0.11163830334525698,0.6071428571428572,20,60
Mongolia,2017,0.3157894736842105,0.27779983552612453,0.11321305411593503,0.625,20,60
Mongolia,2018,0.3157894736842105,0.29791614159500657,0.11124938228454023,0.625,20,60
Mongolia,2019,0.3508771929824561,0.28341826820927135,0.1158403669662173,0.6428571428571428,19,60
Mongolia,2020,0.3508771929824561,0.2931008276512774,0.11623617409351697,0.6607142857142857,19,60
Mongolia,2021,0.3157894736842105,0.27774748801689464,0.11343964435862926,0.6140350877192983,20,60
Mongolia,2022,0.3157894736842105,0.29125640220778337,0.11716375264930025,0.625,20,60
Mongolia,2023,0.3157894736842105,0.3021638697430494,0.115886905569078,0.5614035087719298,20,60
