zone_key,year,density,Q,Eglob,SyCI,n_nodes,n_edges
Inner_Mongolia,2000,0.3508771929824561,0.2101035832953749,0.16814757102625416,0.6964285714285714,19,60
Inner_Mongolia,2001,0.3508771929824561,0.23189923036358753,0.13722967552250523,0.6607142857142857,19,60
Inner_Mongolia,2002,0.3157894736842105,0.2560545950749509,0.13306271848024237,0.6428571428571428,20,60
Inner_Mongolia,2003,0.3157894736842105,0.2554017641856726,0.1319865535550783,0.6071428571428572,20,60
Inner_Mongolia,2004,0.3157894736842105,0.24298519238636515,0.13293783565889866,0.6607142857142857,20,60
Inner_Mongolia,2005,0.3157894736842105,0.24833435068540385,0.14325074821266404,0.6545454545454545,20,60
Inner_Mongolia,2006,0.3157894736842105,0.25562665279696395,0.13966701572183488,0.6363636363636364,20,60
Inner_Mongolia,2007,0.3157894736842105,0.30365240280990297,0.12958030450595195,0.6363636363636364,20,60
Inner_Mongolia,2008,0.3157894736842105,0.2661983949850253,0.13773507563416248,0.6,20,60
Inner_Mongolia,2009,0.3157894736842105,0.24136743600813015,0.14894446103945533,0.6,20,60
Inner_Mongolia,2010,0.3157894736842105,0.2509616398628357,0.13905961597717872,0.6363636363636364,20,60
Inner_Mongolia,2011,0.3157894736842105,0.24182293102360877,0.14772549659289388,0.6363636363636364,20,60
Inner_Mongolia,2012,0.3157894736842105,0.25687268083607595,0.1379315869198894,0.6545454545454545,20,60
Inner_Mongolia,2013,0.3508771929824561,0.20763802251548488,0.1648493981023323,0.625,19,60
Inner_Mongolia,2014,0.3157894736842105,0.24635479445574737,0.1422807192862794,0.6363636363636364,20,60
Inner_Mongolia,2015,0.3508771929824561,0.2508876381911896,0.14257931008005315,0.6545454545454545,19,60
Inner_Mongolia,2016,0.3157894736842105,0.2653259007314352,0.13240419460406244,0.6363636363636364,20,60
Inner_Mongolia,2017,0.3157894736842105,0.269754446283467,0.13629906541099207,0.6363636363636364,20,60
Inner_Mongolia,2018,0.3508771929824561,0.2518423955913575,0.1458318280649853,0.6727272727272727,19,60
Inner_Mongolia,2019,0.3157894736842105,0.25872935436892563,0.1345018671456316,0.6545454545454545,20,60
Inner_Mongolia,2020,0.3508771929824561,0.24073793931645504,0.14911448240303393,0.6909090909090909,19,60
Inner_Mongolia,2021,0.3157894736842105,0.238504195892265,0.1579760173940768,0.5818181818181818,20,60
Inner_Mongolia,2022,0.3157894736842105,0.2650650807013797,0.13561282934748184,0.6545454545454545,20,60
Inner_Mongolia,2023,0.3157894736842105,0.25521368744066886,0.14516718662465378,0.6363636363636364,20,60
