var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AET,AI,0.5190831210151732,0.5019418567765563,0.4943790173460372,0.4030228686020012,0.4763980252017664,0.5566749900067688,0.4998673465715679,0.4430366138809122,0.4560650410243289,0.5063962810080552,0.5119225732550163,0.4895548896614879,0.3954316213346314,0.4778631118039837,0.4840854360554134,0.411012287268921,0.4229255591290107,0.5100682092374174,0.4285769932837922,0.4902383342684615,0.5397698375686883,0.4763135224840937,0.5593633590443983,0.4949064793683747
AET,FS,0.3058202498160868,0.3095858672269978,0.2555072124111783,0.2145253400448186,0.2437068526098378,0.2587262523587559,0.2977252171823737,0.2095783572699849,0.2685648114884533,0.3270410148752635,0.269525219167357,0.248256772483847,0.2256120982605443,0.2918189174939472,0.2692928902062731,0.2151349855083294,0.2204223427127455,0.2902171724033562,0.2789636326978346,0.2254719900359066,0.2686292721935293,0.2707841956808789,0.3005583554424501,0.3134529125233279
AET,FVC,0.315757690561436,0.3299996211473616,0.308525070051033,0.2759475997691248,0.2868464154135384,0.2944843162165743,0.3289808613786572,0.2482818830043181,0.313592544891443,0.3559433253229022,0.325839061695077,0.2745967098612739,0.278980311681502,0.329339016891252,0.3088835363009799,0.2447916509405458,0.2753573257476434,0.3068345244268664,0.3022110221403347,0.2763040151858955,0.3429374780682246,0.3420112409554537,0.3320079969126167,0.3204674144860296
AET,GP,0.1719203445862175,0.1646603079373617,,0.143165250821963,,,0.1592185337785976,,,0.144958740439406,,0.1314017043696034,,,,,,,,,,,,
AET,NDMI,0.1558765667876889,0.1399883278995109,0.1331189745476191,,,0.1522070160253706,0.1741387258079094,,0.169837608170466,0.1756861558019491,0.1610560837869235,0.1562440307601017,0.1732476720043616,0.177433211453063,0.1791342863327469,,,,0.1584183571199529,0.1837161318677724,0.1929894506097313,0.2007826970326376,0.1803948964386626,0.2027078540553785
AET,NIRv,0.2861190317182842,0.2819807797226825,0.2749694772682168,0.244561298925875,0.2491044190857302,0.2429240076870338,0.3003444178883168,0.2173148977119561,0.2845913104889482,0.3203005607949409,0.2677263399582503,0.2597212459451183,0.2557536527241661,0.3054198252729934,0.2950247575518697,0.2437798465446304,0.2443620404534821,0.2746138019860102,0.3064453227431139,0.2345194489238867,0.3011709039942943,0.3048446320673713,0.3112280796048036,0.3014356838302818
AET,PET,0.2075448677978557,0.2371547233370311,0.1759735940553186,0.192090702220055,0.1819473189934434,0.3129322248163177,0.2219954812572856,0.1958822281959618,0.1795160396060595,0.2124401536842829,0.2302701748648628,0.2086356671066671,0.1314846700733433,0.2257234088079885,0.2052036914058966,0.1561995961689233,0.1915003525179095,0.2139699608814756,0.2130004908227364,0.1945956608928855,0.1930569683745463,0.2154572936893959,0.2242577973404088,0.2285305692192518
AET,PRE,0.7438887512720098,0.7685684589874875,0.739323246065966,0.7101192401297616,0.7989917758601545,0.8272276683898777,0.8157509293360697,0.7788168823570654,0.8250199949803124,0.7927593679046532,0.8068077218382063,0.7427152781102067,0.7813086678705928,0.7620163014558043,0.7404182857986549,0.74121978048732,0.7729477691278577,0.7851786320906606,0.8044928594343493,0.8254516125148347,0.8317542563607498,0.8046758686218711,0.8227552910332644,0.7614975730056261
AET,SM,0.2893931096927869,0.2721989350337287,0.2439050979361677,0.2215537668334552,0.2321146322038002,0.2359794322921377,0.2698516232833373,0.2068232032264741,0.2504660771207679,0.287009654446127,0.2815358418325628,0.2353111051318205,0.2170422500381931,0.262574381211771,0.2611855521357246,0.2095334639739447,0.2409744854002859,0.2493326762321453,0.2175355421467154,0.2704334387026127,0.2939338253108974,0.2791288826694695,0.2880709514481623,0.2982898934066907
AET,SPEI6,,,,,,,0.2053937236849929,,0.1795893873842452,,,,,0.3126827504733537,,,,0.1927867139408699,0.1623164572427189,,,0.2567735526073858,0.1788750507017765,0.1867207789025226
